ID PUMS Occupation,PUMS Occupation,Average Wage (2014),Average Wage (2015),Average Wage (2016),Average Wage (2017),Average Wage (2018)
"273091","Interpreters and translators",,,,,24839.232647500077
"273092","Court reporters and simultaneous captioners",,,,,41302.23245893465
"273099","Media and communication workers, all other",,,,,45738.47699453552
"274021","Photographers",17867.309082424053,16890.531487972425,18269.73642210986,20098.512366811083,20259.302591451244
"274030","Television, video, & motion picture camera operators & editors",34698.895988847915,35410.86572883578,35878.20001747423,43316.76615769464,41437.44186744457
"2740XX","Broadcast & sound engineering technicians & radio operators, & media & communication equipment workers, all other",39501.96784301795,39267.14653041678,40406.64858104707,44059.87767090811,41779.85706780551
"291011","Chiropractors",60565.65293865974,55890.834910870566,61311.292089153234,55224.826076754995,61550.20740041031
"291020","Dentists",118432.57754666329,124798.4034127298,126264.84210751356,129369.82899276304,139497.27145033178
"291031","Dietitians & nutritionists",37098.53551286723,38562.1405031538,37969.97348205579,39580.81674792784,42101.48452699588
"291041","Optometrists",83451.9057218288,85579.53790432114,89913.75025287799,90655.91968123417,103711.29929273762
"291051","Pharmacists",86737.14038582808,86754.1046568278,88846.40553598534,88813.64466204439,91660.8239589354
"291071","Physician assistants",81785.2978475056,85129.46053895596,90072.83629494275,90169.05072859509,108718.83290374688
"291081","Podiatrists",117869.95848569585,116414.0474608448,104805.79481357553,97723.65352966652,123941.61028061893
"291122","Occupational therapists",54285.9798455453,53456.96390439266,55310.36702902341,55246.414812033676,57237.97310261218
"291123","Physical therapists",60340.42451793426,60648.659095972325,63147.80986880607,63534.324353487034,66419.230758063
"291124","Radiation therapists",67782.58337531486,64659.39726837662,73503.28406338661,74876.38656961049,72542.29253326444
"291125","Recreational therapists",34104.06412305234,33072.17979913448,32057.3215,32836.568066817046,33120.39588147343
"291126","Respiratory therapists",51495.20150017568,50230.24488085155,49187.579767917676,53531.12032227721,50740.42323252238
"291127","Speechlanguage pathologists",48742.976398177474,47631.27736830951,50437.03440829764,51503.137670876364,52345.915083922264
"29112X","Other therapists, including exercise physiologists",35571.13653319931,35309.15859855136,37929.339044704735,37561.652081319335,37738.502605617796
"291131","Veterinarians",77279.08599849496,83285.8484096179,86476.6141286051,83179.31224598386,92792.35149747021
"291141","Registered nurses",53085.16176482929,53816.752865303504,55188.176788065015,56518.92837807183,57965.054439241154
"291151","Nurse anesthetists",135348.41965762907,142643.37423312882,131390.92024767146,134828.89140727874,146149.58867711673
"291181","Audiologists",63577.22788236001,59241.584094852515,61589.627443724945,63537.00311115301,61741.208654893235
"2911XX","Nurse practitioners & nurse midwives",83530.17641894757,85420.34472844792,84557.73135199804,89156.94756410505,91025.56851006475
"291210","Physicians",,,,,206831.79290917714
"291240","Surgeons",,,,,282720.32402206364
"291291","Acupuncturists",,,,,32554.318695048587
"291292","Dental hygienists",,,,,45805.26850247612
"291299","Healthcare diagnosing or treating practitioners, all other",,,,,37306.6950723478
"292010","Clinical laboratory technologists & technicians",39413.561417224846,39492.91453151057,40840.14307345998,40735.435952301814,42128.363228132956
"292031","Cardiovascular technologists and technicians",,,,,76805.666221549
"292032","Diagnostic medical sonographers",,,,,73862.48732493505
"292034","Radiologic technologists and technicians",,,,,56736.64149052558
"292035","Magnetic resonance imaging technologists",,,,,100650.60025262598
"29203X","Nuclear medicine technologists and medical dosimetrists",,,,,132946.1370184876
"292042","Emergency medical technicians",,,,,32942.22322574207
"292043","Paramedics",,,,,52015.679790635775
"292052","Pharmacy technicians",,,,,26957.903027151304
"292053","Psychiatric technicians",,,,,28564.153121289757
"292055","Surgical technologists",,,,,43286.84426099381
"292056","Veterinary technologists and technicians",,,,,26028.87830357999
"29205X","Dietetic technicians and ophthalmic medical technicians",,,,,23782.078309031614
"292061","Licensed practical & licensed vocational nurses",29425.502310438784,30474.83817701717,30711.999195881675,33287.88324021911,32994.25565043298
"292072","Medical records specialists",,,,,36712.267680268946
"292081","Opticians, dispensing",32695.90782372803,33567.773578875276,34878.68235921585,34882.602486995034,33195.008013058316
"292090","Miscellaneous health technologists & technicians",40088.353003167955,39957.649505463065,40495.43826063988,42199.513291578085,41419.115999853806
"299000","Other healthcare practitioners & technical Occupations",50265.25339583871,50337.072538382534,52891.75689276486,51529.27985362324,48202.51100677681
"311121","Home health aides",,,,,17849.767202998682
"311122","Personal care aides",,,,,17215.14524964851
"311131","Nursing assistants",,,,,22241.871595290642
"31113X","Orderlies and psychiatric aides",,,,,25306.18528302336
"312010","Occupational therapy assistants & aides",33063.09886110635,34567.07864178746,38882.97678703022,33861.77884236776,31348.984092398427
"312020","Physical therapist assistants & aides",30292.03864180601,30523.614516996822,33153.316213881975,33464.09080419984,30574.670453661194
"319011","Massage therapists",14418.712230634828,14409.388410245452,15506.653531449894,15640.851927805916,16450.784790436286
"319091","Dental assistants",23296.976928540334,25033.26775786089,25310.791265476542,27698.023172262543,28101.053423249657
"319092","Medical assistants",24667.773952134583,24413.651291349368,25897.083092816807,26856.66723529988,27418.82771805797
"319094","Medical transcriptionists",17194.28335030926,17078.69910403979,16025.870707839136,17301.09816143128,14752.755835719687
"319095","Pharmacy aides",26880.343469777483,25249.672692533804,22543.8645423976,26424.432368840666,33140.71319517823
"319096","Veterinary assistants & laboratory animal caretakers",19333.024028779455,18052.993885508808,19863.980498828256,24149.074318128227,22142.87200660611
"319097","Phlebotomists",23435.774254535805,24004.30977216863,25275.116726419757,27276.139698663388,27936.686373846293
"31909X","Healthcare support workers, all other, including medical equipment preparers",20704.77536292254,22512.12659139076,23765.052684519578,24097.308021395987,29569.74028086957
"331011","Firstline supervisors of correctional officers",48017.66561000308,48919.161280911365,49218.7488760898,50258.008458903074,50857.04546695575
"331012","Firstline supervisors of police & detectives",68039.76797961367,70413.49775039859,71704.35284286065,75031.02083904998,77108.27537760396
"331021","Firstline supervisors of fire fighting & prevention workers",73428.65839179709,73385.50927742779,82122.95236565472,83648.41018408073,82596.95961230692
"331090","Miscellaneous first-line supervisors, protective service workers",,,,,56702.29217997607
"332011","Firefighters",57543.537768287155,59327.74772292868,62032.75496210085,60821.531622073526,64025.0109857456
"332020","Fire inspectors",48320.585829190415,44627.463253716385,50311.243886534074,54351.49588438342,55254.89663503624
"333011","Bailiffs",,,,,46785.268200864215
"333012","Correctional officers and jailers",,,,,44429.20154510544
"333021","Detectives & criminal investigators",68379.1099136259,67469.63197606348,68909.61376054742,69721.62910497222,72940.8918490566
"333050","Police officers",57136.59413960051,58720.68281974104,60333.4149043462,60848.76470514,63153.73859602878
"3330XX","Miscellaneous law enforcement workers",36098.83653953696,32366.316406729708,35106.381755081806,28601.932840356563,33590.65987758548
"339011","Animal control workers",30870.42244943989,36331.54814416353,27591.086899791233,31693.542805100184,33195.45508758852
"339021","Private detectives & investigators",47690.802986508075,46812.93032712265,49437.47863402199,51686.661939072896,51125.10622093533
"339030","Security guards & gaming surveillance officers",24611.946226120912,25000.326094948094,25712.34037144182,26905.07562005098,28537.171444350566
"339091","Crossing guards",11765.108830577523,13748.70809573086,12333.720636306778,14042.148866932346,17001.906115993363
"339093","Transportation security screeners",37699.279844252385,39254.138923589424,38590.77150981289,39764.80316228846,39189.056139427325
"339094","School bus monitors",,,,,12474.380950476838
"33909X","Lifeguards & other recreational, & all other protective service workers",6087.078048235179,6435.772817856909,6473.350624313879,6364.963425065191,6891.289162864447
"351011","Chefs & head cooks",26824.18205207862,27183.982698195818,28484.469895535494,30104.151778206266,31796.72316703489
"351012","Firstline supervisors of food preparation & serving workers",20706.71904676773,22839.948723837522,22667.837730496853,24520.111961727656,25127.718732663503
"352010","Cooks",13041.498996710427,13383.123381898173,14101.496913364768,14685.060611803143,15304.109313044613
"352021","Food preparation workers",9862.422462058415,10417.402945105965,10755.101062766029,11106.807054662731,11919.058114752559
"353011","Bartenders",18616.901733658804,19424.385435055086,21293.72532625234,21521.289457816383,22916.20853844646
"353023","Fast food and counter workers",,,,,9869.71326107109
"353031","Waiters & waitresses",12123.922459490366,12762.623595781477,13525.89055630161,14198.116085397178,14629.723896537975
"353041","Food servers, nonrestaurant",14715.844732125242,13263.18935181075,15018.256181937028,15188.557285123206,15934.246343361796
"359011","Dining room and cafeteria attendants and bartender helpers",,,,,10311.274709741876
"359021","Dishwashers",8329.841737418481,8664.993900500795,9150.337510337944,9541.471976592358,9685.443283508168
"359031","Hosts & hostesses, restaurant, lounge, & coffee shop",6689.6747818738495,6753.511376596015,7256.300418698222,7655.4418291660395,8076.133433901879
"359099","Food preparation and serving related workers, all other",,,,,15950.87537316969
"371011","Firstline supervisors of housekeeping & janitorial workers",27809.55642569689,28826.428665730593,29408.394968040662,33323.04360032224,32535.82596673539
"371012","Firstline supervisors of landscaping, lawn service, & groundskeeping workers",27578.476908523102,29579.318199734636,30354.276686518122,30980.90048260942,33389.24605206782
"372012","Maids & housekeeping cleaners",10468.821794416732,10789.226965058466,11342.886521714168,12186.600504145983,12582.607412070489
"37201X","Janitors & building cleaners",17430.282317023903,17591.140930873476,18652.332888911234,19289.456449719375,20215.988488309733
"372021","Pest control workers",27526.833516044306,27451.668773834474,31742.108202212527,30544.647927853097,31848.162021966946
"373011","Landscaping and groundskeeping workers",,,,,15733.041414996618
"373013","Tree trimmers and pruners",,,,,25424.244343659517
"37301X","Other grounds maintenance workers",,,,,21836.047912243455
"391000","Supervisors of personal care and service workers",,,,,30029.72070930067
"392011","Animal trainers",17469.096264257827,16767.351067407948,16977.601995986333,22026.239706807708,20426.85141994559
"392021","Nonfarm animal caretakers",12055.206398806944,12505.653712151028,13118.09133383572,12939.14904215801,13583.372572781547
"393010","Gaming services workers",27437.06134763661,28559.9573246081,26949.871630118203,29693.653487755008,30909.031616709184
"393031","Ushers, lobby attendants, & ticket takers",6143.944069571673,6360.731691493227,8643.77065948856,6088.708465242653,7000.253258108573
"3930XX","Other entertainment attendants and related workers",,,,,11197.370373278201
"394031","Morticians, undertakers, & funeral directors",44484.104767649784,48360.17496037274,45216.79853232487,44039.9178061736,45494.22254155841
"3940XX","Embalmers & funeral attendants",15899.500969091094,18963.701607205934,20336.312379920193,17117.788997933883,18385.161162866567
"395011","Barbers",12740.732684488645,10643.223713410123,11774.177731435022,12666.189699551931,15512.69396153873
"395012","Hairdressers, hairstylists, & cosmetologists",12762.191913853409,13384.946538686323,14268.987466794477,14152.094061260765,15686.728772202241
"395092","Manicurists and pedicurists",,,,,16111.591951102404
"395094","Skincare specialists",,,,,20858.655397823222
"39509X","Other personal appearance workers",,,,,17008.09332525742
"396010","Baggage porters, bellhops, & concierges",22509.218630918112,24906.823302064902,25028.904069438686,27405.67200056895,27815.61830153399
"397010","Tour & travel guides",10841.635256440783,12886.896633419414,12383.828380804658,10916.232474263257,13134.270536077285
"399011","Childcare workers",7473.023439818122,7875.130767723964,8593.188020463956,8433.19605605936,9311.075767442262
"399031","Exercise trainers and group fitness instructors",,,,,18557.758449173725
"399032","Recreation workers",,,,,14309.727258727167
"399041","Residential advisors",12657.903493271713,12888.58521854077,12802.21208173528,13811.684769835998,14692.532611314193
"399099","Personal care & service workers, all other ",10240.85966745016,13376.973979700406,13551.35826437922,14518.563739342117,15993.936051212377
"411011","Firstline supervisors of retail sales workers",37525.108057058096,38558.41030752646,40267.29620954457,41371.26585692303,42897.343269942096
"411012","Firstline supervisors of nonretail sales workers",65829.640789001,68420.92283782322,71635.86385944558,74076.15485747415,73595.35377807944
"412010","Cashiers",9811.85436648762,10107.893901554871,10695.674748488063,11089.192046449021,11361.52994847503
"412021","Counter & rental clerks",19387.57830308486,20092.647103345545,20654.086340512124,21745.951386806595,24655.79286712656
"412022","Parts salespersons",32575.7030351739,29705.32554202201,31222.56985770692,31252.800794301205,33708.761511678276
"412031","Retail salespersons",20140.100801633267,20583.556389479672,21652.52845000152,22583.755809475217,23580.638075993258
"413011","Advertising sales agents",51610.50616463775,57605.81303423152,62817.338864584905,59663.66525748845,64077.22142198694
"413021","Insurance sales agents",50543.95877776365,50525.92701517343,54547.29332275309,56943.8063974828,56878.411866065246
